left,bottom,right,top
2608000.0000000000000000,1265552.3801275945734233,2609333.3339550006203353,1266707.0812043531332165
2608000.0000000000000000,1266707.0812043531332165,2609333.3339550006203353,1267861.7822811119258404
2608000.0000000000000000,1267861.7822811119258404,2609333.3339550006203353,1269016.4833578707184643
2608000.0000000000000000,1269016.4833578707184643,2609333.3339550006203353,1270171.1844346295110881
2609000.0004662503488362,1264975.0295892150606960,2610333.3344212509691715,1266129.7306659738533199
2609000.0004662503488362,1266129.7306659738533199,2610333.3344212509691715,1267284.4317427326459438
2609000.0004662503488362,1267284.4317427326459438,2610333.3344212509691715,1268439.1328194914385676
2609000.0004662503488362,1268439.1328194914385676,2610333.3344212509691715,1269593.8338962499983609
2609000.0004662503488362,1269593.8338962499983609,2610333.3344212509691715,1270748.5349730087909847
2610000.0009325006976724,1264397.6790508357807994,2611333.3348875013180077,1265552.3801275945734233
2610000.0009325006976724,1265552.3801275945734233,2611333.3348875013180077,1266707.0812043531332165
2610000.0009325006976724,1266707.0812043531332165,2611333.3348875013180077,1267861.7822811119258404
2610000.0009325006976724,1267861.7822811119258404,2611333.3348875013180077,1269016.4833578707184643
2610000.0009325006976724,1269016.4833578707184643,2611333.3348875013180077,1270171.1844346295110881
2610000.0009325006976724,1270171.1844346295110881,2611333.3348875013180077,1271325.8855113883037120
2611000.0013987510465086,1262665.6274356974754483,2612333.3353537516668439,1263820.3285124562680721
2611000.0013987510465086,1263820.3285124562680721,2612333.3353537516668439,1264975.0295892150606960
2611000.0013987510465086,1264975.0295892150606960,2612333.3353537516668439,1266129.7306659738533199
2611000.0013987510465086,1266129.7306659738533199,2612333.3353537516668439,1267284.4317427326459438
2611000.0013987510465086,1267284.4317427326459438,2612333.3353537516668439,1268439.1328194914385676
2611000.0013987510465086,1268439.1328194914385676,2612333.3353537516668439,1269593.8338962499983609
2611000.0013987510465086,1269593.8338962499983609,2612333.3353537516668439,1270748.5349730087909847
2611000.0013987510465086,1270748.5349730087909847,2612333.3353537516668439,1271903.2360497675836086
2612000.0018650013953447,1263242.9779740769881755,2613333.3358200020156801,1264397.6790508357807994
2612000.0018650013953447,1264397.6790508357807994,2613333.3358200020156801,1265552.3801275945734233
2612000.0018650013953447,1265552.3801275945734233,2613333.3358200020156801,1266707.0812043531332165
2612000.0018650013953447,1266707.0812043531332165,2613333.3358200020156801,1267861.7822811119258404
2612000.0018650013953447,1267861.7822811119258404,2613333.3358200020156801,1269016.4833578707184643
2612000.0018650013953447,1269016.4833578707184643,2613333.3358200020156801,1270171.1844346295110881
2612000.0018650013953447,1270171.1844346295110881,2613333.3358200020156801,1271325.8855113883037120
2613000.0023312517441809,1264975.0295892150606960,2614333.3362862523645163,1266129.7306659738533199
2613000.0023312517441809,1266129.7306659738533199,2614333.3362862523645163,1267284.4317427326459438
2613000.0023312517441809,1267284.4317427326459438,2614333.3362862523645163,1268439.1328194914385676
2613000.0023312517441809,1268439.1328194914385676,2614333.3362862523645163,1269593.8338962499983609
2613000.0023312517441809,1269593.8338962499983609,2614333.3362862523645163,1270748.5349730087909847
2614000.0027975020930171,1266707.0812043531332165,2615333.3367525027133524,1267861.7822811119258404
2614000.0027975020930171,1267861.7822811119258404,2615333.3367525027133524,1269016.4833578707184643
2614000.0027975020930171,1269016.4833578707184643,2615333.3367525027133524,1270171.1844346295110881
2614000.0027975020930171,1270171.1844346295110881,2615333.3367525027133524,1271325.8855113883037120
2615000.0032637524418533,1267284.4317427326459438,2616333.3372187530621886,1268439.1328194914385676
2615000.0032637524418533,1268439.1328194914385676,2616333.3372187530621886,1269593.8338962499983609
2615000.0032637524418533,1269593.8338962499983609,2616333.3372187530621886,1270748.5349730087909847
2615000.0032637524418533,1270748.5349730087909847,2616333.3372187530621886,1271903.2360497675836086
2616000.0037300027906895,1267861.7822811119258404,2617333.3376850034110248,1269016.4833578707184643
2616000.0037300027906895,1269016.4833578707184643,2617333.3376850034110248,1270171.1844346295110881
2616000.0037300027906895,1270171.1844346295110881,2617333.3376850034110248,1271325.8855113883037120
2617000.0041962531395257,1267284.4317427326459438,2618333.3381512537598610,1268439.1328194914385676
2617000.0041962531395257,1268439.1328194914385676,2618333.3381512537598610,1269593.8338962499983609
2617000.0041962531395257,1269593.8338962499983609,2618333.3381512537598610,1270748.5349730087909847
2617000.0041962531395257,1270748.5349730087909847,2618333.3381512537598610,1271903.2360497675836086
2618000.0046625034883618,1267861.7822811119258404,2619333.3386175036430359,1269016.4833578707184643
2618000.0046625034883618,1269016.4833578707184643,2619333.3386175036430359,1270171.1844346295110881
